,Planet_Identifier,Planetary_Mass_Earth,Eccentricity,Semi_Major_Axis_AU,Host_Star_Radius_Solar,Host_Star_Temperature_Kelvin,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,Is_In_Habitable_Zone
133,,,,,,,,,,,,
134,,,,,,,,,,,,
135,,,,,,,,,,,,
136,,,,,,,,,,,,
137,,,,,,,,,,,,
138,KOI-1299 b,1548.203677036938,0.535,0.3034,4.16,4850.0,8.461388607356906,1.07469089269716,0.302233594890425,2.8059442400297736,5.291142430014266,False
139,KOI-1299 c,772.5123070225378,0.498,,4.16,4850.0,8.461388607356906,1.07469089269716,0.302233594890425,2.8059442400297736,5.291142430014266,
140,,,,,,,,,,,,
141,Rho Coronae Borealis b,53948.69897190315,0.057,0.24,,5823.0,,1.1941927876054328,0.35865641343263244,,,
142,,,,,,,,,,,,
143,,,,,,,,,,,,
144,,,,,,,,,,,,
145,KELT-10 b,215.8583771474499,0.0,0.0525,1.209,5948.0,1.6166814934532963,1.212514703352201,0.36639959651161086,1.1546988321740113,2.1005583018663625,False
146,Gliese 3634 b,6.99393858209705,0.08,0.0287,0.43,3314.0,0.019707655103545337,0.9872977634154436,0.24148996335360068,0.14128413597558676,0.2856721700436495,False
147,,,,,,,,,,,,
148,HD 156279 b,3086.8701650982894,0.708,0.495,,5453.0,,1.1432359926134246,0.33610784166637864,,,
149,,,,,,,,,,,,
150,,,,,,,,,,,,
151,,,,,,,,,,,,
152,,,,,,,,,,,,
153,,,,,,,,,,,,
154,,,,,,,,,,,,
155,,,,,,,,,,,,
156,,,,,,,,,,,,
157,,,,,,,,,,,,
158,,,,,,,,,,,,
159,Kepler-8 b,187.56471651987542,0.0,0.0483,1.45,6251.0,2.836756285578926,1.2583010823252005,0.3850805097501978,1.5014771517038152,2.7141587382930386,False
160,HAT-P-56 b,693.0357322259805,,0.0423,1.428,6566.0,3.349252993453597,1.3063062083502803,0.4037873862011911,1.6012217536899958,2.8800339222466556,
161,,,,,,,,,,,,
162,,,,,,,,,,,,
163,,,,,,,,,,,,
164,,,,,,,,,,,,
165,,,,,,,,,,,,
